ID,customer_code,product_code,estimated_cost,quantity,unit_price,delivery_date,status,created_at
mg62mk2opv2bmq,15112009,PROD001,9904.34,71,139.50,2025-10-17,DELIVERED,2025-09-26T04:42:16.228Z
mg62mk2sifzv7d,15112010,PROD002,4691.32,85,55.19,2025-10-17,PENDING,2025-09-09T04:42:16.228Z
mg62mk2s6tbq41,15112011,PROD003,6096.05,53,115.02,2025-10-10,PENDING,2025-09-13T04:42:16.228Z
mg62mk2sdn8b19,15112012,PROD004,1886.64,18,104.81,2025-10-30,PENDING,2025-09-29T04:42:16.228Z
mg62mk2sjpe2nh,15112013,PROD005,4384.03,69,63.54,2025-10-29,CANCELLED,2025-09-29T04:42:16.228Z
mg62mk2sah6yi0,15112014,PROD006,8624.83,2,4312.41,2025-10-04,SHIPPED,2025-09-13T04:42:16.228Z
mg62mk2s3c3qyg,15112015,PROD007,2745.87,100,27.46,2025-10-07,SHIPPED,2025-09-12T04:42:16.228Z
mg62mk2s7erpzm,15112016,PROD008,7409.74,12,617.48,2025-10-04,CONFIRMED,2025-09-21T04:42:16.228Z
mg62mk2s9zdyst,15112017,PROD009,322.40,25,12.90,2025-10-23,SHIPPED,2025-09-15T04:42:16.228Z
mg62mk2sc2zb60,15112018,PROD010,9475.60,92,103.00,2025-10-24,DELIVERED,2025-09-16T04:42:16.228Z
mg62mk2sjqi67m,15112019,PROD011,2137.91,65,32.89,2025-10-25,SHIPPED,2025-09-12T04:42:16.228Z
mg62mk2s4wyxbt,15112020,PROD012,4250.25,43,98.84,2025-10-28,SHIPPED,2025-09-07T04:42:16.228Z
mg62mk2snqdau7,15112021,PROD013,1054.58,8,131.82,2025-10-22,PENDING,2025-09-23T04:42:16.228Z
mg62mk2syjawaz,15112022,PROD014,5245.14,82,63.97,2025-10-24,CANCELLED,2025-09-30T04:42:16.228Z
mg62mk2soxaxh6,15112023,PROD015,402.00,10,40.20,2025-10-17,CONFIRMED,2025-09-27T04:42:16.228Z
mg62mk2sy6d86u,15112024,PROD016,1511.91,40,37.80,2025-10-20,SHIPPED,2025-09-30T04:42:16.228Z
mg62mk2sxwj6zb,15112025,PROD017,2830.45,48,58.97,2025-10-03,PENDING,2025-09-17T04:42:16.228Z
mg62mk2szexe53,15112026,PROD018,6415.49,33,194.41,2025-10-05,SHIPPED,2025-09-16T04:42:16.228Z
mg62mk2s9cxl1o,15112027,PROD019,6081.05,65,93.55,2025-10-22,PENDING,2025-09-23T04:42:16.228Z
mg62mk2sqby1jx,15112028,PROD020,7495.11,92,81.47,2025-10-30,PENDING,2025-09-25T04:42:16.228Z
mg62mk2scpm9ej,15112029,PROD021,8255.93,44,187.63,2025-10-28,DELIVERED,2025-09-28T04:42:16.228Z
mg62mk2sx7zk8w,15112030,PROD022,497.81,41,12.14,2025-10-14,SHIPPED,2025-09-10T04:42:16.228Z
mg62mk2s287ft4,15112031,PROD023,3490.68,43,81.18,2025-10-25,DELIVERED,2025-09-25T04:42:16.228Z
mg62mk2swc5lkl,15112032,PROD024,2473.45,71,34.84,2025-10-19,CANCELLED,2025-09-16T04:42:16.228Z
mg62mk2szfj9df,15112033,PROD025,841.29,80,10.52,2025-10-20,PENDING,2025-09-08T04:42:16.228Z
mg62mk2s4qe86h,15112034,PROD026,5656.44,82,68.98,2025-10-23,SHIPPED,2025-09-04T04:42:16.228Z
mg62mk2s258jso,15112035,PROD027,6298.08,92,68.46,2025-10-22,SHIPPED,2025-09-12T04:42:16.228Z
mg62mk2sit4hfq,15112036,PROD028,4735.43,36,131.54,2025-10-15,SHIPPED,2025-09-18T04:42:16.228Z
mg62mk2sqyizrz,15112037,PROD029,7162.89,22,325.59,2025-10-16,PENDING,2025-09-16T04:42:16.228Z
mg62mk2srdnybo,15112038,PROD030,6448.46,5,1289.69,2025-10-14,CONFIRMED,2025-09-03T04:42:16.228Z
mg62mk2s1241mx,15112039,PROD031,8495.05,53,160.28,2025-10-19,CONFIRMED,2025-09-07T04:42:16.228Z
mg62mk2s7ay0gy,15112040,PROD032,7396.70,16,462.29,2025-10-28,CANCELLED,2025-09-16T04:42:16.228Z
mg62mk2t0ryzx1,15112041,PROD033,9743.98,71,137.24,2025-10-17,DELIVERED,2025-09-29T04:42:16.229Z
mg62mk2taz6ifa,15112042,PROD034,1970.18,70,28.15,2025-10-25,CANCELLED,2025-09-03T04:42:16.229Z
mg62mk2t9pyu1z,15112043,PROD035,2260.27,9,251.14,2025-10-15,DELIVERED,2025-09-05T04:42:16.229Z
mg62mk2tvpenjd,15112044,PROD036,4199.43,23,182.58,2025-10-12,CONFIRMED,2025-09-21T04:42:16.229Z
mg62mk2ttmxvxr,15112045,PROD037,779.49,66,11.81,2025-10-01,CONFIRMED,2025-09-20T04:42:16.229Z
mg62mk2t08bvut,15112046,PROD038,2579.21,19,135.75,2025-10-11,CANCELLED,2025-09-24T04:42:16.229Z
mg62mk2th7z1r7,15112047,PROD039,6587.82,13,506.76,2025-10-15,PENDING,2025-09-15T04:42:16.229Z
mg62mk2t3q6a0y,15112048,PROD040,5509.85,86,64.07,2025-10-02,DELIVERED,2025-09-08T04:42:16.229Z
mg62mk2tikajd8,15112049,PROD041,6337.85,65,97.51,2025-10-14,PENDING,2025-09-30T04:42:16.229Z
mg62mk2tv560ln,15112050,PROD042,2050.41,90,22.78,2025-10-02,DELIVERED,2025-09-02T04:42:16.229Z
mg62mk2te3p1q2,15112051,PROD043,9775.23,62,157.66,2025-10-08,SHIPPED,2025-09-22T04:42:16.229Z
mg62mk2tj81apv,15112052,PROD044,7832.35,70,111.89,2025-10-20,CONFIRMED,2025-09-05T04:42:16.229Z
mg62mk2tf22vr4,15112053,PROD045,6280.51,93,67.53,2025-10-13,CANCELLED,2025-09-04T04:42:16.229Z
mg62mk2t94mdga,15112054,PROD046,2603.25,32,81.35,2025-10-14,SHIPPED,2025-09-24T04:42:16.229Z
mg62mk2t81baeq,15112055,PROD047,8237.30,5,1647.46,2025-10-13,PENDING,2025-09-05T04:42:16.229Z
mg62mk2tanftss,15112056,PROD048,5127.91,20,256.40,2025-10-06,PENDING,2025-09-13T04:42:16.229Z
mg62mk2t4nvpap,15112057,PROD049,3975.50,21,189.31,2025-10-30,PENDING,2025-09-10T04:42:16.229Z
mg62mk2teqwrfr,15112058,PROD050,2739.24,23,119.10,2025-10-22,CANCELLED,2025-09-07T04:42:16.229Z
mg62mk2tjnpum5,15112059,PROD051,6206.27,36,172.40,2025-10-20,CANCELLED,2025-09-14T04:42:16.229Z
mg62mk2turvo5x,15112060,PROD052,5698.41,47,121.24,2025-10-10,CANCELLED,2025-09-22T04:42:16.229Z
mg62mk2t3wm99a,15112061,PROD053,3559.24,29,122.73,2025-10-29,SHIPPED,2025-09-15T04:42:16.229Z
mg62mk2tvd1a3q,15112062,PROD054,9858.34,35,281.67,2025-10-29,CANCELLED,2025-09-27T04:42:16.229Z
mg62mk2t3vkr0j,15112063,PROD055,3869.66,16,241.85,2025-10-07,SHIPPED,2025-09-25T04:42:16.229Z
mg62mk2t1stf0c,15112064,PROD056,5203.98,41,126.93,2025-10-03,DELIVERED,2025-09-21T04:42:16.229Z
mg62mk2t4irx4h,15112065,PROD057,711.42,65,10.94,2025-10-12,CANCELLED,2025-09-20T04:42:16.229Z
mg62mk2tkfpu2d,15112066,PROD058,9218.98,97,95.04,2025-10-09,DELIVERED,2025-09-16T04:42:16.229Z
mg62mk2t8mqhpq,15112067,PROD059,7007.69,82,85.46,2025-10-07,CONFIRMED,2025-09-29T04:42:16.229Z
mg62mk2ty93s6m,15112068,PROD060,6590.45,22,299.57,2025-10-27,SHIPPED,2025-09-27T04:42:16.229Z
mg62mk2t63u938,15112069,PROD061,7427.10,77,96.46,2025-10-13,SHIPPED,2025-09-13T04:42:16.229Z
